StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q3_4_TEXT,Q4_1,Q4_2
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Consent...,How old are you (years)?,What is your gender? - Selected Choice,What is your gender? - I describe myself as - Text,"A description of what you want people to look at: this is some bold test
 and you can even include an image... - I think this is informative","A description of what you want people to look at: this is some bold test
 and you can even include an image... - I think this looks nice"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}"
2021-07-14 03:29:02,2021-07-14 03:30:22,Survey Preview,100,79,True,2021-07-14 03:30:22,R_2TNnwCxSc1f9xVv,preview,EN,I have understood the information. I consent to take park.,47,Male,,2,1
2021-07-14 03:33:06,2021-07-14 03:33:21,IP Address,100,14,True,2021-07-14 03:33:21,R_1q2JQyP5UX0w7OJ,anonymous,EN,I have understood the information. I consent to take park.,18,Male,,2,1
2021-07-14 03:33:24,2021-07-14 03:33:38,IP Address,100,13,True,2021-07-14 03:33:38,R_1F2Oq3cgseNXpMP,anonymous,EN,I don't consent - please get me out of here...,,,,,
2021-07-14 03:33:41,2021-07-14 03:33:56,IP Address,100,14,True,2021-07-14 03:33:56,R_2cBF3Q4GXEyvboS,anonymous,EN,I have understood the information. I consent to take park.,27,Prefer not to say,,,
2021-07-14 03:33:58,2021-07-14 03:34:18,IP Address,100,19,True,2021-07-14 03:34:19,R_2CHzclm5XLsabTv,anonymous,EN,I have understood the information. I consent to take park.,56,I describe myself as,German,,
2021-07-14 05:16:05,2021-07-14 05:16:05,Survey Test,100,0,True,2021-07-14 05:16:05,R_3jwyp8xMwaeEWfs,test,,I have understood the information. I consent to take park.,88,Prefer not to say,,2,1
2021-07-14 05:16:05,2021-07-14 05:16:05,Survey Test,100,0,True,2021-07-14 05:16:05,R_3fuTXb4jmrIC3s2,test,,I don't consent - please get me out of here...,64,Female,,1,2
2021-07-14 05:16:05,2021-07-14 05:16:05,Survey Test,100,0,True,2021-07-14 05:16:05,R_7NBwJvkf9Hd85sW,test,,I have understood the information. I consent to take park.,74,Female,,2,1
2021-07-14 05:16:05,2021-07-14 05:16:05,Survey Test,100,0,True,2021-07-14 05:16:05,R_8leYrsonMf4yXOK,test,,I have understood the information. I consent to take park.,29,Male,,2,1
2021-07-14 05:16:05,2021-07-14 05:16:05,Survey Test,100,0,True,2021-07-14 05:16:05,R_2mz7pUxWLweYnEW,test,,I don't consent - please get me out of here...,51,Non-binary / third gender,,2,1
2021-07-14 05:16:05,2021-07-14 05:16:05,Survey Test,100,0,True,2021-07-14 05:16:05,R_03BZNvPreNdtNHg,test,,I don't consent - please get me out of here...,45,Non-binary / third gender,,1,2
2021-07-14 05:16:05,2021-07-14 05:16:05,Survey Test,100,0,True,2021-07-14 05:16:06,R_0vsgg7vm6oP6oh8,test,,I have understood the information. I consent to take park.,38,Prefer not to say,,2,1
2021-07-14 05:16:06,2021-07-14 05:16:06,Survey Test,100,0,True,2021-07-14 05:16:06,R_1GtiwePsOjCtgpw,test,,I don't consent - please get me out of here...,52,I describe myself as,Nunc eu tempora dignissim laoreet mattis laoreet facilisis aenean! Aliquam ligula bibendum arcu curabitur.,1,2
2021-07-14 05:16:06,2021-07-14 05:16:06,Survey Test,100,0,True,2021-07-14 05:16:06,R_9M5qHjUzAt3ihKu,test,,I don't consent - please get me out of here...,69,I describe myself as,Platea vel amet platea pede cras ab enim euismod per! Vel consectetuer curabitur.,1,2
2021-07-14 05:16:06,2021-07-14 05:16:06,Survey Test,100,0,True,2021-07-14 05:16:06,R_bHnNjLVQs5XA5RI,test,,I don't consent - please get me out of here...,59,Male,,2,1
2021-07-14 05:16:06,2021-07-14 05:16:06,Survey Test,100,0,True,2021-07-14 05:16:06,R_73eB1WUO8qeSDmC,test,,I have understood the information. I consent to take park.,76,Prefer not to say,,1,2
2021-07-14 05:16:06,2021-07-14 05:16:06,Survey Test,100,0,True,2021-07-14 05:16:06,R_dnC3wMTyDRYfrdc,test,,I have understood the information. I consent to take park.,55,Non-binary / third gender,,1,2
2021-07-14 05:16:06,2021-07-14 05:16:06,Survey Test,100,0,True,2021-07-14 05:16:06,R_3PJ6RJ01MQrOBlY,test,,I have understood the information. I consent to take park.,63,Non-binary / third gender,,2,1
2021-07-14 05:16:06,2021-07-14 05:16:06,Survey Test,100,0,True,2021-07-14 05:16:06,R_7QbeNPD4h7Hs0V8,test,,I don't consent - please get me out of here...,93,I describe myself as,"Elit donec facilisis culpa? Tincidunt diam augue nec consectetuer. Proin tincidunt fusce ac, rutrum.",2,1
2021-07-14 05:16:06,2021-07-14 05:16:06,Survey Test,100,0,True,2021-07-14 05:16:06,R_b8i7KDZpIWFl1wq,test,,I have understood the information. I consent to take park.,95,Female,,2,1
2021-07-14 05:18:08,2021-07-14 05:18:08,Survey Test,100,0,True,2021-07-14 05:18:08,R_beaP6dCcomtTWAe,test,,I don't consent - please get me out of here...,40,Male,,1,2
2021-07-14 05:18:08,2021-07-14 05:18:08,Survey Test,100,0,True,2021-07-14 05:18:09,R_0Bz0WlsLkao6JAa,test,,I have understood the information. I consent to take park.,99,Female,,1,2
2021-07-14 05:18:09,2021-07-14 05:18:09,Survey Test,100,0,True,2021-07-14 05:18:09,R_0lHUhJMe8uMaFPo,test,,I don't consent - please get me out of here...,49,Prefer not to say,,2,1
2021-07-14 05:18:09,2021-07-14 05:18:09,Survey Test,100,0,True,2021-07-14 05:18:09,R_6WhT3JBqImdtvL0,test,,I have understood the information. I consent to take park.,96,I describe myself as,Pede justo ridiculus. Rutrum nibh tempus eget fringilla ab! Culpa cras odio! Cras natoque.,2,1
2021-07-14 05:18:09,2021-07-14 05:18:09,Survey Test,100,0,True,2021-07-14 05:18:09,R_cNIZQYBIpVYdnxQ,test,,I don't consent - please get me out of here...,33,Female,,1,2
2021-07-14 05:18:09,2021-07-14 05:18:09,Survey Test,100,0,True,2021-07-14 05:18:09,R_0wDHoPwrKzAAlVA,test,,I have understood the information. I consent to take park.,79,Male,,2,1
2021-07-14 05:18:09,2021-07-14 05:18:09,Survey Test,100,0,True,2021-07-14 05:18:09,R_8G1ht79b3oL3FdA,test,,I have understood the information. I consent to take park.,95,Male,,2,1
2021-07-14 05:18:09,2021-07-14 05:18:09,Survey Test,100,0,True,2021-07-14 05:18:09,R_e4pSTjESOcq18dE,test,,I don't consent - please get me out of here...,38,Female,,2,1
2021-07-14 05:18:09,2021-07-14 05:18:09,Survey Test,100,0,True,2021-07-14 05:18:09,R_2cyncszVaDRup8O,test,,I don't consent - please get me out of here...,38,I describe myself as,Urna fringilla ultrices quis accumsan vel. Eu volutpat! Donec cras eu.,1,2
2021-07-14 05:18:09,2021-07-14 05:18:09,Survey Test,100,0,True,2021-07-14 05:18:09,R_1GKGUXpnOpTjI2y,test,,I have understood the information. I consent to take park.,85,Prefer not to say,,2,1
2024-02-23 03:36:40,2024-02-23 03:36:57,Survey Preview,100,16,True,2024-02-23 03:36:58,R_24AfE2k7QsUpZFG,preview,EN,,,,,,
2024-02-23 03:41:34,2024-02-23 03:41:34,Survey Test,100,0,True,2024-02-23 03:41:34,R_cYn1SiYtkVu4TGK,test,,I have understood the information. I consent to take park.,1825561435,Female,,2,1
2024-02-23 03:41:35,2024-02-23 03:41:35,Survey Test,100,0,True,2024-02-23 03:41:35,R_d0VeujtlbHAc0DA,test,,I don't consent - please get me out of here...,109444043,Female,,1,2
2024-02-23 03:41:35,2024-02-23 03:41:35,Survey Test,100,0,True,2024-02-23 03:41:35,R_9Yp0TrU4PYybdpc,test,,I have understood the information. I consent to take park.,1055480523,Male,,2,1
2024-02-23 03:41:35,2024-02-23 03:41:35,Survey Test,100,0,True,2024-02-23 03:41:35,R_0vLlKRkaHYjDdki,test,,I have understood the information. I consent to take park.,1347427272,Female,,1,2
2024-02-23 03:41:35,2024-02-23 03:41:35,Survey Test,100,0,True,2024-02-23 03:41:35,R_8iGWhCM5TOk2N5I,test,,I don't consent - please get me out of here...,1765773145,Prefer not to say,,1,2
2024-02-23 03:41:35,2024-02-23 03:41:35,Survey Test,100,0,True,2024-02-23 03:41:35,R_9FGnKzt0HGHUAKO,test,,I have understood the information. I consent to take park.,333208029,I describe myself as,Sapien consequat facilisi leo iaculis quis vivamus. Fringilla. Facilisis? Fringilla sit volutpat! Potenti.,2,1
2024-02-23 03:41:35,2024-02-23 03:41:35,Survey Test,100,0,True,2024-02-23 03:41:36,R_3sJkEJU9Xa65bF4,test,,I have understood the information. I consent to take park.,84345664,Non-binary / third gender,,2,1
2024-02-23 03:41:36,2024-02-23 03:41:36,Survey Test,100,0,True,2024-02-23 03:41:36,R_cJiOOYRwTIKzjx4,test,,I have understood the information. I consent to take park.,1582922794,I describe myself as,Culpa aliquam cras eu culpa leo orci faucibus fermentum consectetuer nunc leo ridiculus.,1,2
2024-02-23 03:41:36,2024-02-23 03:41:36,Survey Test,100,0,True,2024-02-23 03:41:36,R_3DvUxj6VfxsPAPA,test,,I don't consent - please get me out of here...,814410875,Male,,2,1
2024-02-23 03:41:36,2024-02-23 03:41:36,Survey Test,100,0,True,2024-02-23 03:41:36,R_0enwPrRufyQbPxA,test,,I have understood the information. I consent to take park.,1817644413,Male,,2,1
2024-02-23 03:41:36,2024-02-23 03:41:36,Survey Test,100,0,True,2024-02-23 03:41:36,R_emS31RjdBXvsNh4,test,,I don't consent - please get me out of here...,1145943220,Non-binary / third gender,,2,1
2024-02-23 03:41:36,2024-02-23 03:41:36,Survey Test,100,0,True,2024-02-23 03:41:36,R_9FbHXlr6arFO194,test,,I have understood the information. I consent to take park.,251573023,Male,,1,2
2024-02-23 03:41:36,2024-02-23 03:41:36,Survey Test,100,0,True,2024-02-23 03:41:37,R_d0SnrJkCyiSK0xE,test,,I don't consent - please get me out of here...,1009019882,Female,,1,2
2024-02-23 03:41:37,2024-02-23 03:41:37,Survey Test,100,0,True,2024-02-23 03:41:37,R_a3KlMCdWDeaAY3I,test,,I don't consent - please get me out of here...,416372943,Non-binary / third gender,,2,1
2024-02-23 03:41:37,2024-02-23 03:41:37,Survey Test,100,0,True,2024-02-23 03:41:37,R_8cEO4DDRoa1TI8u,test,,I don't consent - please get me out of here...,1602753638,Non-binary / third gender,,1,2
2024-02-23 03:41:37,2024-02-23 03:41:37,Survey Test,100,0,True,2024-02-23 03:41:37,R_2mkOPLl1Dc5dAto,test,,I don't consent - please get me out of here...,1307585463,I describe myself as,Viverra laoreet lacus nullam malesuada vehicula sollicitudin tempor auctor suspendisse potenti.,1,2
2024-02-23 03:41:37,2024-02-23 03:41:37,Survey Test,100,0,True,2024-02-23 03:41:37,R_ehsEiZ7XvdtqpT0,test,,I don't consent - please get me out of here...,2106113869,Female,,1,2
2024-02-23 03:41:37,2024-02-23 03:41:37,Survey Test,100,0,True,2024-02-23 03:41:37,R_agXQfPDekxLbTRI,test,,I have understood the information. I consent to take park.,302736863,I describe myself as,Enim fermentum facilisi fringilla in vestibulum nulla atque augue a vehicula urna.,2,1
2024-02-23 03:41:37,2024-02-23 03:41:37,Survey Test,100,0,True,2024-02-23 03:41:38,R_ea1F1JI8NWbNl3w,test,,I don't consent - please get me out of here...,2108737966,Female,,1,2
2024-02-23 03:41:38,2024-02-23 03:41:38,Survey Test,100,0,True,2024-02-23 03:41:38,R_doFtX6ilc6G8PL8,test,,I have understood the information. I consent to take park.,1520679191,Male,,2,1
2024-02-23 03:41:38,2024-02-23 03:41:38,Survey Test,100,0,True,2024-02-23 03:41:38,R_0AnHqcddrz6yLCS,test,,I don't consent - please get me out of here...,1321273757,Prefer not to say,,1,2
2024-02-23 03:41:38,2024-02-23 03:41:38,Survey Test,100,0,True,2024-02-23 03:41:38,R_9sEWa9gUGMPzT7M,test,,I don't consent - please get me out of here...,1780008374,Prefer not to say,,2,1
2024-02-23 03:41:38,2024-02-23 03:41:38,Survey Test,100,0,True,2024-02-23 03:41:38,R_9ADa2WKtwDcIiBo,test,,I have understood the information. I consent to take park.,1448989221,Male,,2,1
2024-02-23 03:41:38,2024-02-23 03:41:38,Survey Test,100,0,True,2024-02-23 03:41:38,R_3BLB1bGYZyiuMTk,test,,I don't consent - please get me out of here...,2108447536,Prefer not to say,,1,2
2024-02-23 03:41:39,2024-02-23 03:41:39,Survey Test,100,0,True,2024-02-23 03:41:39,R_0v4lUqaixMOanNc,test,,I have understood the information. I consent to take park.,392335692,Prefer not to say,,1,2
2024-02-23 03:41:39,2024-02-23 03:41:39,Survey Test,100,0,True,2024-02-23 03:41:39,R_eM118gCSSdXDfEi,test,,I have understood the information. I consent to take park.,1004716113,Non-binary / third gender,,1,2
2024-02-23 03:41:39,2024-02-23 03:41:39,Survey Test,100,0,True,2024-02-23 03:41:39,R_430xUtUr9tAAK9M,test,,I have understood the information. I consent to take park.,1263240394,Prefer not to say,,1,2
